index,hora,clave,empleado_clave,grupo,salon,dia
575,N2,150,91701,032,4107,5
576,N4,811,96198,006,4212,1
577,N4,811,96198,006,4212,3
578,N4,811,96198,006,4212,5
579,N3,930,908,012,ss2,6
580,N4,020,97371,024,3303,2
581,N5,405,93594,023,7116,1
582,N5,405,93594,023,7116,3
583,N5,405,93594,023,7116,5
584,N6,604,15265,044,1102,1
585,N6,604,15265,044,1102,3
586,N6,604,15265,044,1102,5
587,N1,606,96966,035,1104,1
588,N1,606,96966,035,1104,3
589,N1,606,96966,035,1104,5
590,N4,004,93303,037,6306,4
591,N1,081,93967,025,1301,1
592,N1,081,93967,025,1301,3
593,N1,081,93967,025,1301,5
594,N5,100,102959,062,1101,1
595,N5,100,102959,062,1101,3
596,N5,100,102959,062,1101,5
597,N3,603,84455,020,9102,1
598,N3,603,84455,020,9102,3
599,N3,603,84455,020,9102,5
600,N4,814,100483,010,4207,1
601,N4,814,100483,010,4207,3
602,N4,814,100483,010,4207,5
603,N6,815,85112,009,4205,1
604,N6,815,85112,009,4205,3
605,N6,815,85112,009,4205,5
606,M5,841,92631,005,4200,1
607,M5,841,92631,005,4200,3
608,M5,841,92631,005,4200,5
609,N3,003,95411,047,7101,1
610,N3,003,95411,047,7101,3
611,N3,003,95411,047,7101,5
612,N1,042,93246,015,9201,4
613,N4,491,92547,008,3205,4
614,N4,500,102958,031,9101,1
615,N4,500,102958,031,9101,3
616,N4,500,102958,031,9101,5
617,N2,603,93241,019,2102,1
618,N2,603,93241,019,2102,3
619,N2,603,93241,019,2102,5
620,N1,621,102261,025,7223,1
621,N1,621,102261,025,7223,3
622,N1,621,102261,025,7223,5
623,N1,003,98717,039,6303,4
624,N3,602,102008,044,1202,1
625,N3,602,102008,044,1202,3
626,N3,602,102008,044,1202,5
627,N5,606,2369,041,2104,1
628,N5,606,2369,041,2104,3
629,N5,606,2369,041,2104,5
630,N2,849,102500,009,4204,1
631,N2,849,102500,009,4204,3
632,N2,849,102500,009,4204,5
633,V1,005,93998,019,1102,2
634,N4,135,19101,002,4105,1
635,N4,135,19101,002,4105,3
636,N4,135,19101,002,4105,5
637,N4,404,85756,024,1103,2
638,V4,707,94865,003,5102,6
639,N2,746,97857,002,4205,1
640,N2,746,97857,002,4205,3
641,N2,746,97857,002,4205,5
642,N6,020,93301,031,6306,1
643,N6,020,93301,031,6306,3
644,N6,020,93301,031,6306,5
645,N5,081,101084,041,2301,1
646,N5,081,101084,041,2301,3
647,N5,081,101084,041,2301,5
648,N4,840,92929,017,7222,1
649,N4,840,92929,017,7222,3
650,N4,840,92929,017,7222,5
651,N1,281,84394,003,cis1,1
652,N1,281,84394,003,cis1,3
653,N1,281,84394,003,cis1,5
654,M1,284,92850,001,VIDE,1
655,M1,284,92850,001,VIDE,3
656,M1,284,92850,001,VIDE,5
657,M1,006,18099,034,1103,4
658,M6,114,13923,021,4101,1
659,M6,114,13923,021,4101,3
660,M6,114,13923,021,4101,5
661,M4,137,17097,005,5301,4
662,V1,170,96184,007,4109,4
663,M3,810,95512,001,infb,1
